Connecting to host speedtest.serverius.net, port 5002
[  4] local 192.168.43.162 port 49220 connected to 178.21.16.76 port 5002
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-0.41   sec  40.8 KBytes   817 Kbits/sec    0   13.2 KBytes       
[  4]   0.41-0.50   sec  0.00 Bytes  0.00 bits/sec    0   13.2 KBytes       
[  4]   0.50-0.75   sec  0.00 Bytes  0.00 bits/sec    0   13.2 KBytes       
[  4]   0.75-1.00   sec  52.7 KBytes  1.73 Mbits/sec    0   26.3 KBytes       
[  4]   1.00-1.25   sec   122 KBytes  4.01 Mbits/sec    0   52.7 KBytes       
[  4]   1.25-1.50   sec  0.00 Bytes  0.00 bits/sec    0   52.7 KBytes       
[  4]   1.50-1.75   sec   221 KBytes  7.25 Mbits/sec    0    105 KBytes       
[  4]   1.75-2.00   sec  0.00 Bytes  0.00 bits/sec    0    105 KBytes       
[  4]   2.00-2.25   sec  75.0 KBytes  2.46 Mbits/sec    0    113 KBytes       
[  4]   2.25-2.50   sec  51.3 KBytes  1.68 Mbits/sec    0    113 KBytes       
[  4]   2.50-2.75   sec  75.0 KBytes  2.46 Mbits/sec    0    113 KBytes       
[  4]   2.75-3.00   sec  63.2 KBytes  2.07 Mbits/sec    0    116 KBytes       
[  4]   3.00-3.25   sec  63.2 KBytes  2.07 Mbits/sec    0    120 KBytes       
[  4]   3.25-3.50   sec  63.2 KBytes  2.07 Mbits/sec    0    122 KBytes       
[  4]   3.50-3.75   sec   126 KBytes  4.14 Mbits/sec    0    125 KBytes       
[  4]   3.75-4.00   sec  63.2 KBytes  2.07 Mbits/sec    0    129 KBytes       
[  4]   4.00-4.25   sec  63.2 KBytes  2.07 Mbits/sec    0    132 KBytes       
[  4]   4.25-4.50   sec  63.2 KBytes  2.07 Mbits/sec    0    136 KBytes       
[  4]   4.50-4.75   sec  63.2 KBytes  2.07 Mbits/sec    0    138 KBytes       
[  4]   4.75-5.00   sec  63.2 KBytes  2.07 Mbits/sec    0    141 KBytes       
[  4]   5.00-5.25   sec  63.2 KBytes  2.07 Mbits/sec    0    145 KBytes       
[  4]   5.25-5.50   sec  63.2 KBytes  2.07 Mbits/sec    0    147 KBytes       
[  4]   5.50-5.75   sec   126 KBytes  4.14 Mbits/sec    0    151 KBytes       
[  4]   5.75-6.00   sec  63.2 KBytes  2.07 Mbits/sec    0    154 KBytes       
[  4]   6.00-6.25   sec  63.2 KBytes  2.07 Mbits/sec    0    158 KBytes       
